Публиковать,SKU,Название,Модель,Категория,category_slug,Состояние,Цвет,HEX,"Цена, ₸",Статус,Сторона,Расположение,Производитель,Без покраски,Описание,Фото (URL через запятую),На главную,"Остаток, шт"
Да,LX-L6-RBUMP,Задний бампер в сборе,Li Auto L6,Задний бампер,rear-bumper,Отличное,,,,В наличии,Зад,Задняя часть,,Да,,,Да,
Да,LX-L6-LFDOOR,Передняя левая дверь,Li Auto L6,Передняя левая дверь,left-front-door,Отличное,,,,В наличии,Лево,Передняя левая,,Да,,,Нет,
Да,LX-L6-RFDOOR,Передняя правая дверь,Li Auto L6,Передняя правая дверь,right-front-door,Отличное,,,,В наличии,Право,Передняя правая,,Да,,,Нет,
Да,LX-L6-LRDOOR,Задняя левая дверь,Li Auto L6,Задняя левая дверь,left-rear-door,Отличное,,,,В наличии,Лево,Задняя левая,,Да,,,Нет,
Да,LX-L6-RRDOOR,Задняя правая дверь,Li Auto L6,Задняя правая дверь,right-rear-door,Отличное,,,,В наличии,Право,Задняя правая,,Да,,,Нет,
Да,LX-L6-LRLIGHT,Левый задний фонарь,Li Auto L6,Левый задний фонарь,left-rear-light,Отличное,,,,В наличии,Лево,Задняя левая,,Нет,,,Нет,
Да,LX-L6-RRLIGHT,Правый задний фонарь,Li Auto L6,Правый задний фонарь,right-rear-light,Отличное,,,,В наличии,Право,Задняя правая,,Нет,,,Нет,
Да,LX-L6-HOOD,Капот,Li Auto L6,Капот,hood,Отличное,,,,В наличии,Перед,Передняя часть,,Да,,,Да,
Да,LX-L6-LMIRH,Левое зеркало High Config,Li Auto L6,Левое зеркало High Config,left-mirror-high,Отличное,,,,В наличии,Лево,Передняя левая,,Нет,,,Нет,
Да,LX-L6-RMIRH,Правое зеркало High Config,Li Auto L6,Правое зеркало High Config,right-mirror-high,Отличное,,,,В наличии,Право,Передняя правая,,Нет,,,Нет,
Да,LX-L6-LMIRL,Левое зеркало Low Config,Li Auto L6,Левое зеркало Low Config,left-mirror-low,Отличное,,,,В наличии,Лево,Передняя левая,,Нет,,,Нет,
Да,LX-L6-RMIRL,Правое зеркало Low Config,Li Auto L6,Правое зеркало Low Config,right-mirror-low,Отличное,,,,В наличии,Право,Передняя правая,,Нет,,,Нет,
Да,LX-L6-LLINER,Левый подкрылок,Li Auto L6,Левый подкрылок,left-fender-liner,Отличное,,,,В наличии,Лево,Передняя левая,,Нет,,,Нет,
Да,LX-L6-RLINER,Правый подкрылок,Li Auto L6,Правый подкрылок,right-fender-liner,Отличное,,,,В наличии,Право,Передняя правая,,Нет,,,Нет,
Да,LX-L6-LFEND,Левое крыло,Li Auto L6,Левое крыло,left-fender,Отличное,,,,В наличии,Лево,Передняя левая,,Да,,,Нет,
Да,LX-L6-RFEND,Правое крыло,Li Auto L6,Правое крыло,right-fender,Отличное,,,,В наличии,Право,Передняя правая,,Да,,,Нет,
Да,LX-L6-LRBLIGHT,Левая подсветка бампера,Li Auto L6,Левая подсветка бампера,left-rear-bumper-light,Отличное,,,,В наличии,Лево,Задняя левая,,Нет,,,Нет,
Да,LX-L6-RRBLIGHT,Правая подсветка бампера,Li Auto L6,Правая подсветка бампера,right-rear-bumper-light,Отличное,,,,В наличии,Право,Задняя правая,,Нет,,,Нет,
Да,LX-L6-FTRIM,Передняя нижняя накладка,Li Auto L6,Передняя нижняя накладка,front-lower-trim,Отличное,,,,В наличии,Перед,Передняя часть,,Нет,,,Нет,
Да,LX-L6-RTRIM,Задняя нижняя накладка,Li Auto L6,Задняя нижняя накладка,rear-lower-trim,Отличное,,,,В наличии,Зад,Задняя часть,,Нет,,,Нет,
Да,LX-L6-HANDLE,Ручки дверей,Li Auto L6,Ручки дверей,door-handles,Отличное,,,,В наличии,—,Кузов,,Нет,,,Нет,
Да,LX-L6-FBUMP,Передний бампер,Li Auto L6,Передний бампер,front-bumper,Отличное,,,,В наличии,Перед,Передняя часть,,Да,,,Да,
Да,LX-L6-LHEAD,Левая передняя фара,Li Auto L6,Левая передняя фара,left-headlight,Отличное,,,,В наличии,Лево,Передняя левая,,Нет,,,Да,
Да,LX-L6-RHEAD,Правая передняя фара,Li Auto L6,Правая передняя фара,right-headlight,Отличное,,,,В наличии,Право,Передняя правая,,Нет,,,Нет,
Да,LX-L6-RAD,Радиатор охлаждения,Li Auto L6,Радиатор охлаждения,radiator,Отличное,,,,В наличии,Перед,Передняя часть,,Нет,,,Нет,
Да,LX-L6-ACRAD,Радиатор кондиционера,Li Auto L6,Радиатор кондиционера,ac-radiator,Отличное,,,,В наличии,Перед,Передняя часть,,Нет,,,Нет,
Да,LX-L6-FRAME,Рамка передней части (телевизор),Li Auto L6,Рамка передней части,front-frame,Отличное,,,,В наличии,Перед,Передняя часть,,Нет,,,Нет,
Да,LX-L6-FAN,Вентилятор охлаждения,Li Auto L6,Вентилятор охлаждения,fan,Отличное,,,,В наличии,Перед,Передняя часть,,Нет,,,Нет,
Да,LX-L6-REINF,Усилитель переднего бампера,Li Auto L6,Усилитель бампера,bumper-reinforcement,Отличное,,,,В наличии,Перед,Передняя часть,,Нет,,,Нет,
Да,LX-L6-BRACK,Кронштейны и крепления,Li Auto L6,Кронштейны и крепления,brackets,Отличное,,,,В наличии,Перед,Передняя часть,,Нет,,,Нет,
Да,LX-L6-SHROUD,Диффузор вентилятора,Li Auto L6,Диффузор вентилятора,fan-shroud,Отличное,,,,В наличии,Перед,Передняя часть,,Нет,,,Нет,
Да,LX-L7-RBUMP,Задний бампер в сборе,Li Auto L7,Задний бампер,rear-bumper,Хорошее,,,,В наличии,Зад,Задняя часть,,Да,,,Да,
Да,LX-L7-LFDOOR,Передняя левая дверь,Li Auto L7,Передняя левая дверь,left-front-door,Хорошее,,,,В наличии,Лево,Передняя левая,,Да,,,Нет,
Да,LX-L7-RFDOOR,Передняя правая дверь,Li Auto L7,Передняя правая дверь,right-front-door,Хорошее,,,,В наличии,Право,Передняя правая,,Да,,,Нет,
Да,LX-L7-LRDOOR,Задняя левая дверь,Li Auto L7,Задняя левая дверь,left-rear-door,Хорошее,,,,В наличии,Лево,Задняя левая,,Да,,,Нет,
Да,LX-L7-RRDOOR,Задняя правая дверь,Li Auto L7,Задняя правая дверь,right-rear-door,Хорошее,,,,В наличии,Право,Задняя правая,,Да,,,Нет,
